 ,Area,Mean,Min,Max,X,Y,Slice
563,0,2146,2146,2146,1459,831,1
564,0,2146,2146,2146,647,714,1
565,0,2146,2146,2146,1647,619,1
566,0,2146,2146,2146,1497,609,1
567,0,2145,2145,2145,1061,1190,1
568,0,2145,2145,2145,1052,828,1
569,0,2145,2145,2145,1365,730,1
570,0,2145,2145,2145,1410,638,1
571,0,2145,2145,2145,1764,510,1
572,0,2145,2145,2145,1436,173,1
573,0,2144,2144,2144,1445,828,1
574,0,2144,2144,2144,1537,321,1
575,0,2143,2143,2143,1682,839,1
576,0,2142,2142,2142,1216,899,1
577,0,2142,2142,2142,1620,427,1
578,0,2142,2142,2142,831,138,1
579,0,2141,2141,2141,1804,515,1
580,0,2141,2141,2141,1636,257,1
581,0,2140,2140,2140,1125,266,1
582,0,2139,2139,2139,1130,1049,1
583,0,2137,2137,2137,1148,416,1
584,0,2136,2136,2136,1055,1198,1
585,0,2136,2136,2136,639,861,1
586,0,2136,2136,2136,1192,741,1
587,0,2136,2136,2136,1377,345,1
588,0,2135,2135,2135,1729,584,1
589,0,2134,2134,2134,696,1157,1
590,0,2134,2134,2134,1411,857,1
591,0,2133,2133,2133,1390,833,1
592,0,2132,2132,2132,1193,1103,1
593,0,2131,2131,2131,717,792,1
594,0,2128,2128,2128,494,1244,1
595,0,2128,2128,2128,564,1165,1
596,0,2128,2128,2128,1346,779,1
597,0,2126,2126,2126,773,1132,1
598,0,2126,2126,2126,1211,1131,1
599,0,2126,2126,2126,1400,329,1
600,0,2125,2125,2125,1138,819,1
601,0,2125,2125,2125,1748,524,1
602,0,2125,2125,2125,1695,515,1
603,0,2124,2124,2124,1780,538,1
604,0,2123,2123,2123,1466,343,1
605,0,2122,2122,2122,1453,208,1
606,0,2121,2121,2121,1382,1111,1
607,0,2121,2121,2121,761,526,1
608,0,2120,2120,2120,1238,856,1
609,0,2120,2120,2120,1525,178,1
610,0,2118,2118,2118,1695,726,1
611,0,2117,2117,2117,1673,1188,1
612,0,2117,2117,2117,1734,448,1
613,0,2116,2116,2116,1206,1083,1
614,0,2116,2116,2116,1692,898,1
615,0,2116,2116,2116,1601,255,1
616,0,2115,2115,2115,184,774,1
617,0,2114,2114,2114,1399,850,1
618,0,2113,2113,2113,1049,1078,1
619,0,2112,2112,2112,1372,308,1
620,0,2112,2112,2112,1064,224,1
621,0,2111,2111,2111,475,1094,1
622,0,2111,2111,2111,1580,514,1
623,0,2111,2111,2111,1275,308,1
624,0,2109,2109,2109,1709,734,1
625,0,2108,2108,2108,1707,637,1
626,0,2107,2107,2107,870,836,1
627,0,2107,2107,2107,1705,786,1
628,0,2107,2107,2107,1366,690,1
629,0,2106,2106,2106,633,805,1
630,0,2105,2105,2105,698,181,1
631,0,2104,2104,2104,1197,830,1
632,0,2104,2104,2104,1191,784,1
633,0,2104,2104,2104,1193,759,1
634,0,2104,2104,2104,717,747,1
635,0,2104,2104,2104,1523,216,1
636,0,2103,2103,2103,1130,511,1
637,0,2102,2102,2102,1373,131,1
638,0,2101,2101,2101,1466,1170,1
639,0,2101,2101,2101,759,1141,1
640,0,2100,2100,2100,486,958,1
641,0,2100,2100,2100,1119,949,1
642,0,2100,2100,2100,1218,669,1
643,0,2099,2099,2099,1214,1189,1
644,0,2098,2098,2098,1754,240,1
645,0,2097,2097,2097,622,859,1
646,0,2097,2097,2097,852,757,1
647,0,2096,2096,2096,1155,211,1
648,0,2095,2095,2095,1416,546,1
649,0,2095,2095,2095,1626,503,1
650,0,2094,2094,2094,1196,927,1
651,0,2094,2094,2094,594,486,1
652,0,2093,2093,2093,1385,581,1
653,0,2093,2093,2093,1379,218,1
654,0,2092,2092,2092,1081,1112,1
655,0,2092,2092,2092,166,912,1
656,0,2092,2092,2092,1455,550,1
657,0,2091,2091,2091,1368,214,1
658,0,2091,2091,2091,1157,166,1
659,0,2088,2088,2088,747,1241,1
660,0,2088,2088,2088,1376,991,1
661,0,2086,2086,2086,150,863,1
662,0,2086,2086,2086,1794,518,1
663,0,2086,2086,2086,1622,374,1
664,0,2085,2085,2085,495,1159,1
665,0,2085,2085,2085,149,710,1
666,0,2085,2085,2085,1733,615,1
667,0,2083,2083,2083,666,829,1
668,0,2083,2083,2083,1615,129,1
669,0,2082,2082,2082,1694,717,1
670,0,2081,2081,2081,1078,769,1
671,0,2078,2078,2078,1251,832,1
672,0,2077,2077,2077,445,1201,1
673,0,2077,2077,2077,1072,1120,1
674,0,2077,2077,2077,554,581,1
675,0,2077,2077,2077,1442,185,1
676,0,2076,2076,2076,1563,562,1
677,0,2075,2075,2075,832,459,1
678,0,2075,2075,2075,1693,323,1
679,0,2074,2074,2074,570,428,1
680,0,2073,2073,2073,1348,165,1
681,0,2072,2072,2072,1095,944,1
682,0,2072,2072,2072,1659,114,1
683,0,2071,2071,2071,1673,500,1
684,0,2070,2070,2070,780,779,1
685,0,2070,2070,2070,1172,563,1
686,0,2070,2070,2070,1167,222,1
687,0,2068,2068,2068,1047,257,1
688,0,2065,2065,2065,747,1181,1
689,0,2065,2065,2065,1493,1070,1
690,0,2065,2065,2065,1124,877,1
691,0,2065,2065,2065,1131,730,1
692,0,2062,2062,2062,387,791,1
693,0,2062,2062,2062,1766,282,1
694,0,2062,2062,2062,1385,130,1
695,0,2061,2061,2061,717,862,1
696,0,2059,2059,2059,527,1069,1
697,0,2059,2059,2059,718,763,1
698,0,2059,2059,2059,833,520,1
699,0,2057,2057,2057,1055,1109,1
700,0,2056,2056,2056,1046,899,1
701,0,2056,2056,2056,287,48,1
702,0,2055,2055,2055,293,740,1
703,0,2055,2055,2055,189,499,1
704,0,2054,2054,2054,1123,1251,1
705,0,2054,2054,2054,665,789,1
706,0,2054,2054,2054,1674,227,1
707,0,2052,2052,2052,1150,1202,1
708,0,2052,2052,2052,1184,896,1
709,0,2049,2049,2049,743,1132,1
710,0,2043,2043,2043,380,1146,1
711,0,2043,2043,2043,160,822,1
712,0,2042,2042,2042,704,627,1
713,0,2039,2039,2039,787,403,1
714,0,2039,2039,2039,1066,302,1
715,0,2037,2037,2037,1604,272,1
716,0,2035,2035,2035,567,816,1
717,0,2035,2035,2035,1533,292,1
718,0,2033,2033,2033,1556,352,1
719,0,2031,2031,2031,774,218,1
720,0,2030,2030,2030,643,818,1
721,0,2030,2030,2030,785,164,1
722,0,2029,2029,2029,1104,151,1
723,0,2027,2027,2027,745,847,1
724,0,2027,2027,2027,821,465,1
